organism,drugA,drugB,phi,ci.lower,ci.upper
E. coli,AMC,AMP,0.4826031474655977,0.4754967559451943,0.48970953898600106
E. coli,AMC,CIP,0.2412918432219269,0.23332479125922148,0.24925889518463232
E. coli,AMC,NIT,0.10087340367312984,0.09129401284591716,0.11045279450034252
E. coli,AMP,CIP,0.39987415913849605,0.3940900628482848,0.4056582554287073
E. coli,AMP,NIT,0.11581649368256575,0.10909180145768092,0.12254118590745057
E. coli,CIP,NIT,0.1364350226283317,0.1277595951544898,0.1451104501021736
K. pneumoniae,AMC,CIP,0.6071823995987587,0.564978544595333,0.6493862546021845
K. pneumoniae,AMC,NIT,0.13902888842419453,0.12503799904848908,0.15301977779989998
K. pneumoniae,CIP,NIT,0.20684564789646928,0.19498285264390375,0.21870844314903481
S. aureus,ERY,OXA,0.5528844182359604,0.5451247357164121,0.5606441007555086
S. aureus,ERY,PEN,0.24886769943150347,0.23836069070804894,0.259374708154958
S. aureus,ERY,CIP,0.4816192189879861,0.47334366704710185,0.48989477092887035
S. aureus,ERY,NIT,-0.0022194412937940992,-0.012742732001837087,0.008303849414248889
S. aureus,OXA,PEN,0.31788043310718417,0.3091380986606537,0.3266227675537146
S. aureus,OXA,CIP,0.6105624020507624,0.600104631064674,0.6210201730368508
S. aureus,OXA,NIT,-0.01196942985839911,-0.022168272052658883,-0.0017705876641393378
S. aureus,PEN,CIP,0.14866662306405584,0.13988687219980747,0.1574463739283042
S. aureus,PEN,NIT,0.0010157754550455694,-0.01044686031096192,0.012478411221053058
S. aureus,CIP,NIT,0.0013875318840174354,-0.009152657369537695,0.011927721137572565
